04/07/2024 12:08:20, Voltage = 0.2072356, Wetness = 0, state = Dry, Temperature = 36.54279, Evaporation = 1.009302, Frequency = 30048
04/07/2024 12:08:21, Voltage = 0.2072084, Wetness = 0, state = Dry, Temperature = 35.93994, Evaporation = 1.013985, Frequency = 29936
04/07/2024 12:08:22, Voltage = 0.2080377, Wetness = 0, state = Dry, Temperature = 36.24689, Evaporation = 1.012273, Frequency = 29992
04/07/2024 12:08:23, Voltage = 0.2075161, Wetness = 0, state = Dry, Temperature = 36.25262, Evaporation = 1.010913, Frequency = 30152
04/07/2024 12:08:24, Voltage = 0.2069098, Wetness = 0, state = Dry, Temperature = 36.45905, Evaporation = 1.007338, Frequency = 30040
04/07/2024 12:08:26, Voltage = 0.2067965, Wetness = 0, state = Dry, Temperature = 36.62311, Evaporation = 1.010813, Frequency = 29904
04/07/2024 12:08:27, Voltage = 0.2082346, Wetness = 0, state = Dry, Temperature = 36.12714, Evaporation = 1.012776, Frequency = 30056
04/07/2024 12:08:28, Voltage = 0.2081268, Wetness = 0, state = Dry, Temperature = 36.68512, Evaporation = 1.011215, Frequency = 29952
04/07/2024 12:08:29, Voltage = 0.2065739, Wetness = 0, state = Dry, Temperature = 36.2356, Evaporation = 1.049032, Frequency = 29752
04/07/2024 12:08:30, Voltage = 0.206592, Wetness = 0, state = Dry, Temperature = 36.47284, Evaporation = 1.01323, Frequency = 29776
04/07/2024 12:08:31, Voltage = 0.2069249, Wetness = 0, state = Dry, Temperature = 36.49542, Evaporation = 1.013179, Frequency = 29824
04/07/2024 12:08:32, Voltage = 0.2071288, Wetness = 0, state = Dry, Temperature = 36.51404, Evaporation = 1.032264, Frequency = 29856
04/07/2024 12:08:33, Voltage = 0.2073564, Wetness = 0, state = Dry, Temperature = 36.36139, Evaporation = 1.025013, Frequency = 29728
04/07/2024 12:08:34, Voltage = 0.2079571, Wetness = 0, state = Dry, Temperature = 36.21344, Evaporation = 1.08564, Frequency = 29744
04/07/2024 12:08:35, Voltage = 0.1870549, Wetness = 0, state = Dry, Temperature = 36.45331, Evaporation = 1.009856, Frequency = 29768
04/07/2024 12:08:36, Voltage = 0.2268231, Wetness = 0, state = Dry, Temperature = 36.1413, Evaporation = 1.010913, Frequency = 30072
04/07/2024 12:08:37, Voltage = 0.8652159, Wetness = 27.98308, state = Moist, Temperature = 35.9552, Evaporation = 1.087956, Frequency = 30128
04/07/2024 12:08:38, Voltage = 0.864466, Wetness = 27.95004, state = Moist, Temperature = 36.74622, Evaporation = 1.082467, Frequency = 30184
04/07/2024 12:08:40, Voltage = 0.1875061, Wetness = 0, state = Dry, Temperature = 36.32526, Evaporation = 1.041428, Frequency = 29632
04/07/2024 12:08:41, Voltage = 1.285484, Wetness = 46.49711, state = Wet, Temperature = 36.74359, Evaporation = 1.072145, Frequency = 30248
04/07/2024 12:08:42, Voltage = 1.288046, Wetness = 46.60997, state = Wet, Temperature = 36.20532, Evaporation = 1.019776, Frequency = 30248
04/07/2024 12:08:43, Voltage = 0.166211, Wetness = 0, state = Dry, Temperature = 36.94946, Evaporation = 1.012776, Frequency = 30328
04/07/2024 12:08:44, Voltage = 0.1862079, Wetness = 0, state = Dry, Temperature = 36.19751, Evaporation = 1.051952, Frequency = 30384
04/07/2024 12:08:45, Voltage = 0.1876763, Wetness = 0, state = Dry, Temperature = 36.6651, Evaporation = 1.011467, Frequency = 30296
04/07/2024 12:08:46, Voltage = 0.1878998, Wetness = 0, state = Dry, Temperature = 36.44238, Evaporation = 1.025415, Frequency = 30192
04/07/2024 12:08:47, Voltage = 0.1881264, Wetness = 0, state = Dry, Temperature = 36.41663, Evaporation = 1.084884, Frequency = 30104
04/07/2024 12:08:48, Voltage = 0.1869738, Wetness = 0, state = Dry, Temperature = 36.56781, Evaporation = 1.01323, Frequency = 30128
04/07/2024 12:08:49, Voltage = 0.1874255, Wetness = 0, state = Dry, Temperature = 36.87671, Evaporation = 1.068771, Frequency = 30016
04/07/2024 12:08:50, Voltage = 0.9132584, Wetness = 30.09949, state = Moist, Temperature = 36.90204, Evaporation = 1.088208, Frequency = 29792
04/07/2024 12:08:51, Voltage = 0.1672342, Wetness = 0, state = Dry, Temperature = 36.99945, Evaporation = 1.089819, Frequency = 29904
04/07/2024 12:08:52, Voltage = 0.166912, Wetness = 0, state = Dry, Temperature = 36.40881, Evaporation = 1.009856, Frequency = 27632
04/07/2024 12:08:54, Voltage = 0.1876027, Wetness = 0, state = Dry, Temperature = 36.7572, Evaporation = 0.9846281, Frequency = 30216
04/07/2024 12:08:55, Voltage = 0.1878918, Wetness = 0, state = Dry, Temperature = 36.44519, Evaporation = 1.092639, Frequency = 30232
04/07/2024 12:08:56, Voltage = 0.1874169, Wetness = 0, state = Dry, Temperature = 36.72644, Evaporation = 1.089567, Frequency = 30184
