05/07/2024 11:43:50, Voltage = 0.02251865, Wetness = 0, state = Dry, Temperature = 30.79303, Evaporation = 1.270492, Frequency = 26384
05/07/2024 11:43:51, Voltage = 0.02248643, Wetness = 0, state = Dry, Temperature = 31.27094, Evaporation = 1.265557, Frequency = 26680
05/07/2024 11:43:52, Voltage = 0.0220997, Wetness = 0, state = Dry, Temperature = 31.81219, Evaporation = 1.270089, Frequency = 26656
05/07/2024 11:43:53, Voltage = 0.02345324, Wetness = 0, state = Dry, Temperature = 31.9552, Evaporation = 1.269435, Frequency = 26384
05/07/2024 11:43:54, Voltage = 0.02171298, Wetness = 0, state = Dry, Temperature = 32.12567, Evaporation = 1.271852, Frequency = 26096
05/07/2024 11:43:55, Voltage = 0.02351769, Wetness = 0, state = Dry, Temperature = 32.27826, Evaporation = 1.272607, Frequency = 25976
05/07/2024 11:43:56, Voltage = 0.02295372, Wetness = 0, state = Dry, Temperature = 32.80408, Evaporation = 1.156036, Frequency = 25776
05/07/2024 11:43:57, Voltage = 0.02233335, Wetness = 0, state = Dry, Temperature = 32.86218, Evaporation = 1.272808, Frequency = 26184
05/07/2024 11:43:58, Voltage = 0.02281675, Wetness = 0, state = Dry, Temperature = 32.92621, Evaporation = 1.266212, Frequency = 26184
05/07/2024 11:43:59, Voltage = 0.02274424, Wetness = 0, state = Dry, Temperature = 32.97931, Evaporation = 1.304985, Frequency = 26064
05/07/2024 11:44:00, Voltage = 0.02224472, Wetness = 0, state = Dry, Temperature = 33.11908, Evaporation = 1.265809, Frequency = 25752
05/07/2024 11:44:01, Voltage = 0.02363049, Wetness = 0, state = Dry, Temperature = 33.01868, Evaporation = 1.265759, Frequency = 25944
05/07/2024 11:44:03, Voltage = 0.02240586, Wetness = 0, state = Dry, Temperature = 33.17249, Evaporation = 1.23761, Frequency = 26048
05/07/2024 11:44:04, Voltage = 0.02229306, Wetness = 0, state = Dry, Temperature = 33.28113, Evaporation = 1.268629, Frequency = 25648
05/07/2024 11:44:05, Voltage = 0.02278453, Wetness = 0, state = Dry, Temperature = 33.30023, Evaporation = 1.269686, Frequency = 25680
05/07/2024 11:44:06, Voltage = 0.02276036, Wetness = 0, state = Dry, Temperature = 33.2915, Evaporation = 1.271046, Frequency = 26376
05/07/2024 11:44:07, Voltage = 0.02238975, Wetness = 0, state = Dry, Temperature = 33.15027, Evaporation = 1.269183, Frequency = 26352
05/07/2024 11:44:08, Voltage = 0.02281675, Wetness = 0, state = Dry, Temperature = 33.16052, Evaporation = 1.304431, Frequency = 26424
05/07/2024 11:44:09, Voltage = 0.02345324, Wetness = 0, state = Dry, Temperature = 33.40607, Evaporation = 1.272003, Frequency = 26392
05/07/2024 11:44:10, Voltage = 0.02298595, Wetness = 0, state = Dry, Temperature = 33.26215, Evaporation = 1.24174, Frequency = 26352
05/07/2024 11:44:11, Voltage = 0.0228651, Wetness = 0, state = Dry, Temperature = 33.37537, Evaporation = 1.265759, Frequency = 26352
05/07/2024 11:44:12, Voltage = 0.02313902, Wetness = 0, state = Dry, Temperature = 33.59052, Evaporation = 1.265809, Frequency = 26344
05/07/2024 11:44:13, Voltage = 0.02308263, Wetness = 0, state = Dry, Temperature = 33.82758, Evaporation = 1.280412, Frequency = 26368
05/07/2024 11:44:14, Voltage = 0.02374328, Wetness = 0, state = Dry, Temperature = 33.48663, Evaporation = 1.266615, Frequency = 26320
05/07/2024 11:48:29, Voltage = 0.02298595, Wetness = 0, state = Dry, Temperature = 33.33679, Evaporation = 1.268075, Frequency = 39744
05/07/2024 11:48:30, Voltage = 0.02361437, Wetness = 0, state = Dry, Temperature = 33.68573, Evaporation = 1.270391, Frequency = 40112
05/07/2024 11:48:32, Voltage = 0.02301817, Wetness = 0, state = Dry, Temperature = 33.56757, Evaporation = 1.269837, Frequency = 40536
05/07/2024 11:48:34, Voltage = 0.02421057, Wetness = 0, state = Dry, Temperature = 33.38129, Evaporation = 1.273161, Frequency = 40448
05/07/2024 11:48:36, Voltage = 1.353798, Wetness = 49.50653, state = Wet, Temperature = 33.41455, Evaporation = 1.272758, Frequency = 40656
05/07/2024 11:48:37, Voltage = 0.02344518, Wetness = 0, state = Dry, Temperature = 33.11298, Evaporation = 1.26878, Frequency = 40552
05/07/2024 11:48:39, Voltage = 0.02259116, Wetness = 0, state = Dry, Temperature = 33.60461, Evaporation = 1.20911, Frequency = 40744
05/07/2024 11:48:41, Voltage = 1.581613, Wetness = 59.54243, state = Wet, Temperature = 33.84412, Evaporation = 1.26596, Frequency = 40944
05/07/2024 11:48:42, Voltage = 0.4451236, Wetness = 9.47681, state = Dry, Temperature = 33.55591, Evaporation = 1.270089, Frequency = 40608
05/07/2024 11:48:44, Voltage = 0.02207553, Wetness = 0, state = Dry, Temperature = 33.24994, Evaporation = 1.266313, Frequency = 40632
05/07/2024 11:48:46, Voltage = 0.02272007, Wetness = 0, state = Dry, Temperature = 33.65533, Evaporation = 1.267974, Frequency = 40488
05/07/2024 11:48:48, Voltage = 0.02350964, Wetness = 0, state = Dry, Temperature = 33.55969, Evaporation = 1.269787, Frequency = 40568
05/07/2024 11:48:49, Voltage = 0.02350964, Wetness = 0, state = Dry, Temperature = 33.28632, Evaporation = 1.267018, Frequency = 40520
05/07/2024 11:48:51, Voltage = 0.02321959, Wetness = 0, state = Dry, Temperature = 33.33923, Evaporation = 1.265356, Frequency = 40688
05/07/2024 11:48:53, Voltage = 0.02369494, Wetness = 0, state = Dry, Temperature = 33.41162, Evaporation = 1.269535, Frequency = 40632
05/07/2024 11:48:55, Voltage = 0.02203525, Wetness = 0, state = Dry, Temperature = 33.3476, Evaporation = 1.27155, Frequency = 40552
05/07/2024 11:48:56, Voltage = 0.02259116, Wetness = 0, state = Dry, Temperature = 33.17145, Evaporation = 1.267269, Frequency = 40536
05/07/2024 11:48:58, Voltage = 0.02368688, Wetness = 0, state = Dry, Temperature = 33.57666, Evaporation = 1.280412, Frequency = 40464
05/07/2024 11:49:00, Voltage = 0.02375134, Wetness = 0, state = Dry, Temperature = 33.38678, Evaporation = 1.255738, Frequency = 40360
05/07/2024 11:49:02, Voltage = 0.02259922, Wetness = 0, state = Dry, Temperature = 33.15704, Evaporation = 1.271952, Frequency = 40112
05/07/2024 11:49:03, Voltage = 0.02317125, Wetness = 0, state = Dry, Temperature = 33.55731, Evaporation = 1.273312, Frequency = 40048
05/07/2024 11:49:05, Voltage = 0.02306651, Wetness = 0, state = Dry, Temperature = 33.07104, Evaporation = 1.266313, Frequency = 39808
05/07/2024 11:49:07, Voltage = 0.02333239, Wetness = 0, state = Dry, Temperature = 33.21063, Evaporation = 1.269989, Frequency = 39640
05/07/2024 11:49:09, Voltage = 0.02313902, Wetness = 0, state = Dry, Temperature = 33.16901, Evaporation = 1.271852, Frequency = 39480
05/07/2024 11:49:10, Voltage = 0.02285704, Wetness = 0, state = Dry, Temperature = 32.92865, Evaporation = 1.272607, Frequency = 39968
05/07/2024 11:49:12, Voltage = 0.02365466, Wetness = 0, state = Dry, Temperature = 33.47931, Evaporation = 1.216864, Frequency = 38976
05/07/2024 11:49:14, Voltage = 0.02309874, Wetness = 0, state = Dry, Temperature = 33.52411, Evaporation = 1.255084, Frequency = 38792
05/07/2024 11:49:16, Voltage = 0.02326793, Wetness = 0, state = Dry, Temperature = 33.37854, Evaporation = 1.269535, Frequency = 38704
05/07/2024 11:49:17, Voltage = 0.02379968, Wetness = 0, state = Dry, Temperature = 33.14966, Evaporation = 1.268377, Frequency = 38672
05/07/2024 11:49:19, Voltage = 0.02291343, Wetness = 0, state = Dry, Temperature = 33.66589, Evaporation = 1.253825, Frequency = 38704
05/07/2024 11:49:21, Voltage = 0.02393664, Wetness = 0, state = Dry, Temperature = 33.72699, Evaporation = 1.26737, Frequency = 38656
05/07/2024 11:49:22, Voltage = 0.022567, Wetness = 0, state = Dry, Temperature = 33.35559, Evaporation = 1.266716, Frequency = 38864
05/07/2024 11:49:24, Voltage = 0.02306651, Wetness = 0, state = Dry, Temperature = 33.49585, Evaporation = 1.268226, Frequency = 38848
05/07/2024 11:49:26, Voltage = 0.02376745, Wetness = 0, state = Dry, Temperature = 33.26105, Evaporation = 1.272607, Frequency = 39696
05/07/2024 11:49:28, Voltage = 0.02266367, Wetness = 0, state = Dry, Temperature = 33.53693, Evaporation = 1.267169, Frequency = 39352
05/07/2024 11:49:29, Voltage = 0.02222055, Wetness = 0, state = Dry, Temperature = 33.4292, Evaporation = 1.201002, Frequency = 40664
05/07/2024 11:49:31, Voltage = 0.0219144, Wetness = 0, state = Dry, Temperature = 33.28003, Evaporation = 1.266967, Frequency = 39752
05/07/2024 11:49:33, Voltage = 0.02271202, Wetness = 0, state = Dry, Temperature = 33.34796, Evaporation = 1.268176, Frequency = 40680
05/07/2024 11:49:35, Voltage = 0.02392859, Wetness = 0, state = Dry, Temperature = 33.90625, Evaporation = 1.270492, Frequency = 40344
05/07/2024 11:49:36, Voltage = 0.02213998, Wetness = 0, state = Dry, Temperature = 33.43127, Evaporation = 1.273161, Frequency = 39552
05/07/2024 11:49:38, Voltage = 0.02426697, Wetness = 0, state = Dry, Temperature = 33.31122, Evaporation = 1.267571, Frequency = 39568
05/07/2024 11:49:40, Voltage = 0.02276841, Wetness = 0, state = Dry, Temperature = 33.8894, Evaporation = 1.272506, Frequency = 39824
05/07/2024 11:49:42, Voltage = 0.02228501, Wetness = 0, state = Dry, Temperature = 33.66016, Evaporation = 1.265759, Frequency = 39512
05/07/2024 11:49:43, Voltage = 0.02331627, Wetness = 0, state = Dry, Temperature = 33.23865, Evaporation = 1.302467, Frequency = 39560
05/07/2024 11:49:45, Voltage = 0.02354992, Wetness = 0, state = Dry, Temperature = 33.80878, Evaporation = 1.242948, Frequency = 39784
05/07/2024 11:49:47, Voltage = 0.02188217, Wetness = 0, state = Dry, Temperature = 33.50159, Evaporation = 1.264953, Frequency = 39664
05/07/2024 11:49:49, Voltage = 0.0228087, Wetness = 0, state = Dry, Temperature = 33.57697, Evaporation = 1.26878, Frequency = 39536
05/07/2024 11:49:50, Voltage = 0.02285704, Wetness = 0, state = Dry, Temperature = 33.82867, Evaporation = 1.267924, Frequency = 39592
05/07/2024 11:49:52, Voltage = 0.02181772, Wetness = 0, state = Dry, Temperature = 33.54865, Evaporation = 1.010712, Frequency = 39504
05/07/2024 11:49:54, Voltage = 0.02349352, Wetness = 0, state = Dry, Temperature = 33.80023, Evaporation = 1.27019, Frequency = 39480
05/07/2024 11:49:56, Voltage = 0.02301817, Wetness = 0, state = Dry, Temperature = 33.6156, Evaporation = 1.268629, Frequency = 39480
05/07/2024 11:49:57, Voltage = 0.02211581, Wetness = 0, state = Dry, Temperature = 33.35297, Evaporation = 1.271952, Frequency = 39448
05/07/2024 11:49:59, Voltage = 0.02312291, Wetness = 0, state = Dry, Temperature = 33.57123, Evaporation = 1.265255, Frequency = 39336
05/07/2024 11:50:01, Voltage = 0.0230504, Wetness = 0, state = Dry, Temperature = 33.49585, Evaporation = 1.269284, Frequency = 39224
05/07/2024 11:50:02, Voltage = 0.02187411, Wetness = 0, state = Dry, Temperature = 33.6485, Evaporation = 1.269686, Frequency = 39176
05/07/2024 11:50:04, Voltage = 0.02315514, Wetness = 0, state = Dry, Temperature = 33.65509, Evaporation = 1.254127, Frequency = 39408
05/07/2024 11:50:06, Voltage = 0.02284898, Wetness = 0, state = Dry, Temperature = 33.35315, Evaporation = 1.266564, Frequency = 39400
05/07/2024 11:50:08, Voltage = 0.02279258, Wetness = 0, state = Dry, Temperature = 33.95862, Evaporation = 1.267269, Frequency = 39376
05/07/2024 11:50:14, Voltage = 0.02254282, Wetness = 0, state = Dry, Temperature = 34.34991, Evaporation = 1.26596, Frequency = 39128
05/07/2024 11:50:16, Voltage = 0.0234613, Wetness = 0, state = Dry, Temperature = 33.58167, Evaporation = 1.268629, Frequency = 39216
05/07/2024 11:50:17, Voltage = 0.02159213, Wetness = 0, state = Dry, Temperature = 33.6889, Evaporation = 1.26878, Frequency = 39232
05/07/2024 11:50:19, Voltage = 0.02303429, Wetness = 0, state = Dry, Temperature = 33.81384, Evaporation = 1.270643, Frequency = 39432
05/07/2024 11:50:21, Voltage = 0.02292149, Wetness = 0, state = Dry, Temperature = 33.96509, Evaporation = 1.269989, Frequency = 39480
05/07/2024 11:50:23, Voltage = 0.02189828, Wetness = 0, state = Dry, Temperature = 33.55103, Evaporation = 1.267773, Frequency = 39400
05/07/2024 11:50:25, Voltage = 0.04228189, Wetness = 0, state = Dry, Temperature = 33.82843, Evaporation = 1.304733, Frequency = 39248
05/07/2024 11:50:26, Voltage = 0.1654537, Wetness = 0, state = Dry, Temperature = 33.64624, Evaporation = 1.267118, Frequency = 39616
05/07/2024 11:50:28, Voltage = 0.5757162, Wetness = 15.22979, state = Slight Moist, Temperature = 33.69147, Evaporation = 1.269837, Frequency = 39544
05/07/2024 11:50:30, Voltage = 0.02332433, Wetness = 0, state = Dry, Temperature = 33.59125, Evaporation = 1.268478, Frequency = 39344
05/07/2024 11:50:32, Voltage = 0.02201108, Wetness = 0, state = Dry, Temperature = 33.35077, Evaporation = 1.209613, Frequency = 39632
05/07/2024 11:50:33, Voltage = 0.02231723, Wetness = 0, state = Dry, Temperature = 33.56024, Evaporation = 1.265658, Frequency = 39600
05/07/2024 11:50:54, Voltage = 0.02307457, Wetness = 0, state = Dry, Temperature = 33.90918, Evaporation = 1.270391, Frequency = 4937
05/07/2024 11:50:56, Voltage = 0.02312291, Wetness = 0, state = Dry, Temperature = 33.62463, Evaporation = 1.268226, Frequency = 4899
05/07/2024 11:50:58, Voltage = 0.02315514, Wetness = 0, state = Dry, Temperature = 33.45563, Evaporation = 1.269183, Frequency = 4897
05/07/2024 11:51:00, Voltage = 0.02213193, Wetness = 0, state = Dry, Temperature = 33.57709, Evaporation = 1.26737, Frequency = 4920
05/07/2024 11:51:01, Voltage = 0.02317125, Wetness = 0, state = Dry, Temperature = 33.6236, Evaporation = 1.270492, Frequency = 4936
05/07/2024 11:51:03, Voltage = 0.02279258, Wetness = 0, state = Dry, Temperature = 34.12933, Evaporation = 1.238164, Frequency = 4926
05/07/2024 11:51:05, Voltage = 0.02333239, Wetness = 0, state = Dry, Temperature = 33.81384, Evaporation = 1.304834, Frequency = 4923
05/07/2024 11:51:07, Voltage = 0.02301817, Wetness = 0, state = Dry, Temperature = 33.97028, Evaporation = 1.266766, Frequency = 4939
05/07/2024 11:51:08, Voltage = 0.02327599, Wetness = 0, state = Dry, Temperature = 34.33319, Evaporation = 1.270996, Frequency = 4982
05/07/2024 11:51:10, Voltage = 0.02309874, Wetness = 0, state = Dry, Temperature = 34.07922, Evaporation = 1.302014, Frequency = 5020
05/07/2024 11:51:12, Voltage = 0.02114095, Wetness = 0, state = Dry, Temperature = 33.88959, Evaporation = 1.265104, Frequency = 5105
05/07/2024 11:51:14, Voltage = 0.02226889, Wetness = 0, state = Dry, Temperature = 33.44971, Evaporation = 1.01187, Frequency = 5110
05/07/2024 11:51:15, Voltage = 0.02339684, Wetness = 0, state = Dry, Temperature = 33.84967, Evaporation = 1.266867, Frequency = 5059
05/07/2024 11:51:17, Voltage = 0.02291343, Wetness = 0, state = Dry, Temperature = 33.87494, Evaporation = 1.303223, Frequency = 5027
05/07/2024 11:51:19, Voltage = 0.02320348, Wetness = 0, state = Dry, Temperature = 33.54321, Evaporation = 1.27024, Frequency = 5040
05/07/2024 11:51:20, Voltage = 0.02238169, Wetness = 0, state = Dry, Temperature = 33.81641, Evaporation = 1.266212, Frequency = 4644
05/07/2024 11:51:22, Voltage = 0.02252671, Wetness = 0, state = Dry, Temperature = 33.66559, Evaporation = 1.297734, Frequency = 4464
05/07/2024 11:51:24, Voltage = 0.0220433, Wetness = 0, state = Dry, Temperature = 33.58167, Evaporation = 1.271147, Frequency = 4480
05/07/2024 11:51:26, Voltage = 0.02192245, Wetness = 0, state = Dry, Temperature = 33.80023, Evaporation = 1.206542, Frequency = 4656
05/07/2024 11:51:27, Voltage = 0.02430725, Wetness = 0, state = Dry, Temperature = 33.67688, Evaporation = 1.266967, Frequency = 4826
05/07/2024 11:51:29, Voltage = 0.02367882, Wetness = 0, state = Dry, Temperature = 33.92572, Evaporation = 1.270794, Frequency = 4700
05/07/2024 11:51:31, Voltage = 0.02220444, Wetness = 0, state = Dry, Temperature = 34.1123, Evaporation = 1.273161, Frequency = 4532
05/07/2024 11:51:33, Voltage = 0.02231723, Wetness = 0, state = Dry, Temperature = 33.48126, Evaporation = 1.267571, Frequency = 4666
05/07/2024 11:51:34, Voltage = 0.02208359, Wetness = 0, state = Dry, Temperature = 34.00616, Evaporation = 1.269132, Frequency = 4674
05/07/2024 11:51:50, Voltage = 0.02231723, Wetness = 0, state = Dry, Temperature = 31.23529, Evaporation = 1.24179, Frequency = 4798
05/07/2024 11:51:51, Voltage = 0.0232921, Wetness = 0, state = Dry, Temperature = 31.95978, Evaporation = 1.269586, Frequency = 4798
05/07/2024 11:51:53, Voltage = 0.02349352, Wetness = 0, state = Dry, Temperature = 32.35657, Evaporation = 1.270089, Frequency = 4797
05/07/2024 11:51:55, Voltage = 0.0223414, Wetness = 0, state = Dry, Temperature = 32.75897, Evaporation = 1.273614, Frequency = 4802
05/07/2024 11:51:57, Voltage = 0.02252671, Wetness = 0, state = Dry, Temperature = 33.09918, Evaporation = 1.007086, Frequency = 4794
05/07/2024 11:51:58, Voltage = 0.02253477, Wetness = 0, state = Dry, Temperature = 33.19421, Evaporation = 1.270744, Frequency = 4798
05/07/2024 11:52:00, Voltage = 0.02291343, Wetness = 0, state = Dry, Temperature = 33.66882, Evaporation = 1.269686, Frequency = 4798
05/07/2024 11:52:02, Voltage = 0.0228651, Wetness = 0, state = Dry, Temperature = 33.11279, Evaporation = 1.265154, Frequency = 4799
05/07/2024 11:52:04, Voltage = 0.02251865, Wetness = 0, state = Dry, Temperature = 33.41754, Evaporation = 1.267924, Frequency = 4799
